Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID364,364,0,-1,5.197,5.092,3.000,0.000,0,0.393,1,1635.696,116.443,711.380,None,None,None,None,None,None,None,-10921639,1635.696,1373,639,3758,129220,762.694,1.262,0.171,0.627
ID358,358,0,-1,5.174,5.022,3.000,28.011,1,0.393,1,1586.696,111.709,744.494,None,None,None,None,None,None,None,-10921639,1586.696,1405,547,3818,125349,756.892,1.258,0.131,0.484
ID352,352,0,-1,5.115,4.963,2.500,56.023,2,0.393,1,884.329,115.329,704.949,None,None,None,None,None,None,None,-10921639,884.329,735,116,2148,69862,508.432,1.110,0.067,0.218
ID346,346,0,-1,5.150,4.940,2.500,84.034,3,0.393,1,1131.646,91.861,545.481,None,None,None,None,None,None,None,-10921639,1131.646,915,321,2559,89400,616.000,1.116,0.097,0.325
ID340,340,0,-1,5.127,4.916,2.500,112.045,4,0.393,1,1143.329,90.899,491.063,None,None,None,None,None,None,None,-10921639,1143.329,974,400,2780,90323,573.697,0.628,0.091,0.333
ID334,334,0,-1,5.092,4.940,2.500,140.056,5,0.393,1,1014.089,99.734,540.848,None,None,None,None,None,None,None,-10921639,1014.089,908,320,2418,80113,509.703,1.109,0.084,0.310
ID328,328,0,-1,5.139,4.893,2.500,168.068,6,0.393,1,1260.329,89.759,435.215,None,None,None,None,None,None,None,-10921639,1260.329,1038,332,3096,99566,627.416,1.119,0.097,0.356
ID322,322,0,-1,5.186,4.916,2.500,196.079,7,0.393,1,1116.000,93.076,436.924,None,None,None,None,None,None,None,-10921639,1116.000,958,415,2576,88164,512.852,1.492,0.073,0.298
ID316,316,0,-1,5.256,4.998,2.500,224.090,8,0.393,1,1104.924,81.468,417.392,None,None,None,None,None,None,None,-10921639,1104.924,958,409,2562,87289,518.032,1.113,0.076,0.300
ID310,310,0,-1,5.291,5.057,3.000,252.102,9,0.393,1,1534.241,73.000,419.886,None,None,None,None,None,None,None,-10921639,1534.241,1379,621,3624,121205,684.958,1.245,0.082,0.338
ID304,304,0,-1,5.326,5.174,2.500,280.113,10,0.393,1,1125.671,84.949,313.582,None,None,None,None,None,None,None,-10921639,1125.671,940,381,2716,88928,538.612,1.108,0.088,0.340
ID298,298,0,-1,5.268,5.209,3.000,308.124,11,0.393,1,1347.506,63.810,355.051,None,None,None,None,None,None,None,-10921639,1347.506,1194,590,3100,106453,568.416,1.492,0.054,0.244
ID289,289,0,-1,5.303,5.186,3.000,336.136,12,0.393,1,1343.949,65.025,334.797,None,None,None,None,None,None,None,-10921639,1343.949,1187,486,3033,106172,591.941,1.492,0.063,0.271
ID283,283,0,-1,5.303,5.197,3.000,364.147,13,0.393,1,1313.266,73.443,308.924,None,None,None,None,None,None,None,-10921639,1313.266,1159,585,3009,103748,592.140,1.492,0.079,0.324
ID277,277,0,-1,5.466,5.069,2.500,392.158,14,0.393,1,1022.506,79.722,287.038,None,None,None,None,None,None,None,-10921639,1022.506,871,349,2581,80778,524.231,1.328,0.062,0.227
ID88,88,0,-1,5.390,5.250,3.000,420.169,15,0.393,1,1170.658,77.316,292.063,None,None,None,None,None,None,None,-10921639,1170.658,1022,456,2854,92482,547.749,1.492,0.063,0.255
ID101,101,0,-1,5.478,5.197,3.000,448.181,16,0.393,1,1296.873,74.671,257.152,None,None,None,None,None,None,None,-10921639,1296.873,1157,473,2938,102453,604.376,1.119,0.086,0.340
ID107,107,0,-1,5.490,5.080,3.000,476.192,17,0.393,1,1201.392,69.025,271.101,None,None,None,None,None,None,None,-10921639,1201.392,1088,538,2454,94910,481.545,1.492,0.069,0.322
ID114,114,0,-1,5.607,5.150,3.000,504.203,18,0.393,1,1411.228,67.810,227.051,None,None,None,None,None,None,None,-10921639,1411.228,1319,593,3245,111487,617.370,1.111,0.100,0.416
ID120,120,0,-1,5.607,5.162,3.000,532.215,19,0.393,1,1415.291,71.975,214.671,None,None,None,None,None,None,None,-10921639,1415.291,1279,540,3222,111808,656.030,1.108,0.093,0.369
ID126,126,0,-1,5.654,5.150,3.000,560.226,20,0.393,1,1298.203,63.215,218.544,None,None,None,None,None,None,None,-10921639,1298.203,1175,465,2790,102558,550.868,1.107,0.075,0.329
ID132,132,0,-1,5.630,5.069,3.000,588.237,21,0.393,1,1121.152,68.494,239.646,None,None,None,None,None,None,None,-10921639,1121.152,938,458,2689,88571,533.217,1.492,0.055,0.221
ID138,138,0,-1,5.619,5.174,3.000,616.248,22,0.393,1,1269.797,71.608,230.051,None,None,None,None,None,None,None,-10921639,1269.797,1170,522,2798,100314,554.712,1.492,0.059,0.256
ID144,144,0,-1,5.747,5.232,3.000,644.260,23,0.393,1,1533.797,70.924,211.354,None,None,None,None,None,None,None,-10921639,1533.797,1357,650,3584,121170,683.726,1.104,0.100,0.410
ID150,150,0,-1,5.747,5.069,3.000,672.271,24,0.393,1,1414.253,65.823,212.152,None,None,None,None,None,None,None,-10921639,1414.253,1304,598,3045,111726,600.582,1.114,0.080,0.347
ID156,156,0,-1,5.747,5.080,3.000,700.282,25,0.393,1,1390.620,65.544,193.595,None,None,None,None,None,None,None,-10921639,1390.620,1231,549,3190,109859,655.511,1.492,0.068,0.271
ID162,162,0,-1,5.771,5.244,2.500,728.294,26,0.393,1,1057.532,74.316,198.430,None,None,None,None,None,None,None,-10921639,1057.532,907,391,2548,83545,519.618,1.100,0.080,0.302
ID168,168,0,-1,5.747,5.197,2.500,756.305,27,0.393,1,1064.886,65.924,189.443,None,None,None,None,None,None,None,-10921639,1064.886,974,384,2553,84126,518.614,1.097,0.090,0.339
ID174,174,0,-1,5.829,5.326,2.500,784.316,28,0.393,1,1319.949,62.101,179.013,None,None,None,None,None,None,None,-10921639,1319.949,1113,468,3158,104276,644.576,1.101,0.097,0.364
ID180,180,0,-1,5.642,5.572,3.000,812.328,29,0.393,1,1311.671,67.494,181.899,None,None,None,None,None,None,None,-10921639,1311.671,1155,547,2950,103622,585.440,1.492,0.050,0.212
ID186,186,0,-1,5.619,5.654,3.000,840.339,30,0.393,1,1282.519,60.456,186.519,None,None,None,None,None,None,None,-10921639,1282.519,1190,564,2722,101319,555.609,1.492,0.062,0.270
ID192,192,0,-1,5.584,5.677,3.000,868.350,31,0.393,1,1075.924,73.658,185.835,None,None,None,None,None,None,None,-10921639,1075.924,913,463,2294,84998,469.831,1.420,0.038,0.168
ID198,198,0,-1,5.584,5.665,3.000,896.361,32,0.393,1,1238.899,64.924,178.316,None,None,None,None,None,None,None,-10921639,1238.899,1074,528,2644,97873,553.127,1.252,0.072,0.302
ID207,207,0,-1,5.537,5.771,3.000,924.373,33,0.393,1,1065.203,58.873,170.671,None,None,None,None,None,None,None,-10921639,1065.203,909,453,2354,84151,469.989,1.492,0.045,0.194
ID213,213,0,-1,5.584,5.783,3.000,952.384,34,0.393,1,1156.962,68.785,164.886,None,None,None,None,None,None,None,-10921639,1156.962,1006,491,2467,91400,523.965,1.428,0.044,0.188
ID219,219,0,-1,5.595,5.888,3.000,980.395,35,0.393,1,1323.696,70.468,157.139,None,None,None,None,None,None,None,-10921639,1323.696,1219,497,2994,104572,591.767,1.107,0.088,0.361
ID225,225,0,-1,5.759,5.619,3.000,1008.407,36,0.393,1,1189.797,67.443,166.253,None,None,None,None,None,None,None,-10921639,1189.797,1008,458,2766,93994,560.066,1.492,0.062,0.246
ID231,231,0,-1,5.911,5.572,3.500,1036.418,37,0.393,1,755.076,71.468,159.658,None,None,None,None,None,None,None,-10921639,755.076,652,304,2043,59651,370.318,1.430,-0.005,-0.019
ID237,237,0,-1,5.654,6.110,3.500,1064.429,38,0.393,1,1293.519,65.468,157.519,None,None,None,None,None,None,None,-10921639,1293.519,1076,543,2910,102188,627.334,1.106,0.112,0.417
ID243,243,0,-1,6.099,5.502,3.500,1092.440,39,0.393,1,1268.785,61.899,152.101,None,None,None,None,None,None,None,-10921639,1268.785,1104,455,2692,100234,617.891,1.122,0.110,0.408
ID249,249,0,-1,6.403,5.338,3.500,1120.452,40,0.393,1,1146.987,62.038,154.861,None,None,None,None,None,None,None,-10921639,1146.987,996,374,2656,90612,574.241,0.628,0.099,0.358
ID255,255,0,-1,6.473,4.998,4.000,1148.463,41,0.393,1,1277.063,66.835,150.684,None,None,None,None,None,None,None,-10921639,1277.063,1135,477,2849,100888,561.595,0.628,0.098,0.405
ID261,261,0,-1,6.181,5.759,4.000,1176.474,42,0.393,1,1667.354,60.342,144.899,None,None,None,None,None,None,None,-10921639,1667.354,1430,717,3754,131721,777.851,1.261,0.097,0.380
ID264,264,0,-1,5.665,6.239,4.000,1204.486,43,0.393,1,555.354,58.418,142.076,None,None,None,None,None,None,None,-10921639,555.354,503,274,1236,43873,200.231,1.492,-0.028,-0.158
ID270,270,0,-1,6.333,5.466,4.000,1232.497,44,0.393,1,1260.127,46.810,128.051,None,None,None,None,None,None,None,-10921639,1260.127,990,212,4087,99550,937.146,1.445,0.124,0.296
