Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10
ID119,119,0,-1,4.390,2.809,2.600,0.000,0,0.393,1,-10921639,544.140,532,144,1054,65841,227.053,0.997,0.279,1.044,544.140,223.636,586.165,None,None,None,None,None,None,None
ID113,113,0,-1,4.390,2.844,2.600,60.303,1,0.393,1,-10921639,587.934,577,146,1141,71140,225.006,0.995,0.291,1.178,587.934,216.000,617.190,None,None,None,None,None,None,None
ID107,107,0,-1,4.425,2.827,2.600,120.606,2,0.393,1,-10921639,549.711,507,173,1004,66515,202.183,1.266,0.281,1.193,549.711,145.231,542.223,None,None,None,None,None,None,None
ID100,100,0,-1,4.425,2.809,2.600,180.909,3,0.393,1,-10921639,566.264,540,202,1009,68518,208.611,1.008,0.269,1.151,566.264,146.488,553.612,None,None,None,None,None,None,None
ID85,85,0,-1,4.425,2.739,2.600,241.212,4,0.393,1,-10921639,573.380,537,230,1022,69379,195.665,0.995,0.276,1.266,573.380,166.421,562.570,None,None,None,None,None,None,None
ID79,79,0,-1,4.425,2.739,2.800,301.514,5,0.393,1,-10921639,593.091,564,256,1118,71764,200.115,1.001,0.261,1.226,593.091,149.083,528.331,None,None,None,None,None,None,None
ID73,73,0,-1,4.495,2.564,2.600,361.817,6,0.393,1,-10921639,465.752,396,23,1070,56356,273.495,1.001,0.207,0.583,465.752,128.727,306.835,None,None,None,None,None,None,None
ID67,67,0,-1,4.512,2.493,2.800,422.120,7,0.393,1,-10921639,441.264,423,64,975,53393,233.307,1.006,0.189,0.601,441.264,118.959,327.983,None,None,None,None,None,None,None
ID60,60,0,-1,4.635,2.564,2.400,482.423,8,0.393,1,-10921639,290.653,246,52,900,35169,176.100,1.259,0.076,0.234,290.653,86.008,237.281,None,None,None,None,None,None,None
ID54,54,0,-1,4.618,2.493,2.600,542.726,9,0.393,1,-10921639,395.248,325,19,1064,47825,247.730,1.273,0.153,0.424,395.248,103.983,289.025,None,None,None,None,None,None,None
ID30,30,0,-1,4.635,2.511,2.400,603.029,10,0.393,1,-10921639,304.215,237,0,991,36810,214.285,1.323,0.094,0.244,304.215,95.025,262.066,None,None,None,None,None,None,None
