Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID306,306,0,-1,5.05680,5.72402,6.20000,0.00000,0,0.39269,1,142.66116,145.25620,1598.61983,None,None,None,None,None,None,None,-10921639,142.66116,143,2,289,17262,60.99229,1.49223,-0.03277,-0.15848
ID358,358,1,-1,4.12621,5.40797,3.80000,0.00000,0,0.39269,1,202.54545,112.67769,736.85950,None,None,None,None,None,None,None,-10921639,202.54545,156,3,719,24508,154.09899,0.99995,0.08858,0.21391
ID352,352,1,-1,4.10865,5.37285,3.80000,62.76440,1,0.39269,1,285.89256,144.40496,1101.56198,None,None,None,None,None,None,None,-10921639,285.89256,239,37,746,34593,178.41225,0.99325,0.17413,0.47529
ID303,303,0,-1,5.02168,5.70646,6.20000,62.76440,1,0.39269,1,160.38017,136.10744,1365.45455,None,None,None,None,None,None,None,-10921639,160.38017,153,45,393,19406,67.33737,1.33069,-0.01303,-0.06288
ID346,346,1,-1,4.09109,5.40797,3.80000,125.52880,2,0.39269,1,298.27273,107.93388,675.57851,None,None,None,None,None,None,None,-10921639,298.27273,210,38,961,36091,232.89747,1.41747,0.12913,0.29294
ID300,300,0,-1,5.02168,5.67134,6.20000,125.52880,2,0.39269,1,187.38843,161.90083,1761.69421,None,None,None,None,None,None,None,-10921639,187.38843,161,67,396,22674,82.37499,1.39915,-0.02796,-0.13085
ID340,340,1,-1,3.98574,5.51332,3.60000,188.29320,3,0.39269,1,295.70248,82.19835,481.74380,None,None,None,None,None,None,None,-10921639,295.70248,230,42,866,35780,194.69753,1.28576,0.12320,0.33319
ID294,294,0,-1,4.98657,5.70646,6.20000,188.29320,3,0.39269,1,182.29752,134.39669,1361.65289,None,None,None,None,None,None,None,-10921639,182.29752,163,66,453,22058,77.06141,0.07854,-0.04482,-0.22199
ID288,288,0,-1,5.07436,5.68890,6.20000,251.05760,4,0.39269,1,212.40496,152.48760,1743.13223,None,None,None,None,None,None,None,-10921639,212.40496,186,33,483,25701,99.88840,1.49223,-0.02847,-0.12461
ID334,334,1,-1,3.89795,5.82937,3.60000,251.05760,4,0.39269,1,183.98347,54.69421,251.14050,None,None,None,None,None,None,None,-10921639,183.98347,138,25,894,22262,147.82580,1.49223,-0.06043,-0.16008
ID309,309,1,-1,3.93307,6.07518,3.40000,313.82200,5,0.39269,1,221.98347,58.81818,252.74380,None,None,None,None,None,None,None,-10921639,221.98347,155,17,1028,26860,184.58661,1.49223,0.02649,0.06207
ID279,279,0,-1,5.12703,5.68890,6.20000,313.82200,5,0.39269,1,253.27273,178.06612,2116.69421,None,None,None,None,None,None,None,-10921639,253.27273,228,44,547,30646,121.71360,0.95775,0.03115,0.12573
ID373,373,1,-1,3.65213,5.91716,3.40000,376.58640,6,0.39269,1,301.47107,49.39669,248.26446,None,None,None,None,None,None,None,-10921639,301.47107,197,17,1109,36478,251.63005,1.00723,0.18479,0.37373
ID270,270,0,-1,5.21483,5.61867,6.20000,376.58640,6,0.39269,1,235.58678,156.41322,2412.19835,None,None,None,None,None,None,None,-10921639,235.58678,212,37,507,28506,109.84775,1.32536,0.01194,0.05059
ID264,264,0,-1,5.24994,5.58355,6.20000,439.35080,7,0.39269,1,346.14050,188.35537,2660.31405,None,None,None,None,None,None,None,-10921639,346.14050,314,116,879,41883,159.32730,1.00176,0.09937,0.39274
ID382,382,1,-1,3.58190,6.00495,3.00000,439.35080,7,0.39269,1,217.66942,61.17355,232.12397,None,None,None,None,None,None,None,-10921639,217.66942,147,27,962,26338,192.80052,1.49223,0.08158,0.17031
ID258,258,0,-1,5.37285,5.54843,6.20000,502.11520,8,0.39269,1,327.09917,149.18182,1814.09091,None,None,None,None,None,None,None,-10921639,327.09917,297,108,692,39579,148.83937,1.27757,0.09313,0.37445
ID388,388,1,-1,3.45899,5.96983,3.00000,502.11520,8,0.39269,1,224.90083,57.61157,212.43802,None,None,None,None,None,None,None,-10921639,224.90083,157,47,970,27213,189.54372,1.32843,0.07364,0.16276
ID394,394,1,-1,3.44143,5.98739,2.80000,564.87960,9,0.39269,1,255.19008,52.74380,207.31405,None,None,None,None,None,None,None,-10921639,255.19008,176,43,878,30878,190.42848,1.33943,0.11257,0.27119
ID252,252,0,-1,5.35529,5.46064,6.60000,564.87960,9,0.39269,1,286.04132,118.29752,1265.76033,None,None,None,None,None,None,None,-10921639,286.04132,267,73,664,34611,122.24752,1.28008,0.05427,0.24090
ID400,400,1,-1,3.37120,6.05763,2.80000,627.64400,10,0.39269,1,303.74380,53.45455,209.54545,None,None,None,None,None,None,None,-10921639,303.74380,208,56,990,36753,218.36119,1.00435,0.18775,0.43975
ID246,246,0,-1,5.54843,5.26750,6.60000,627.64400,10,0.39269,1,287.87603,97.63636,965.90083,None,None,None,None,None,None,None,-10921639,287.87603,243,106,729,34833,136.69391,1.41004,0.05166,0.20691
ID240,240,0,-1,5.53088,4.91633,6.60000,690.40841,11,0.39269,1,265.63636,120.01653,1265.17355,None,None,None,None,None,None,None,-10921639,265.63636,232,66,686,32142,123.98992,1.40136,-0.02680,-0.11801
ID406,406,1,-1,3.63458,6.26833,2.40000,690.40841,11,0.39269,1,198.96694,47.56198,184.42149,None,None,None,None,None,None,None,-10921639,198.96694,138,35,792,24075,142.98933,1.33354,0.04785,0.12709
ID231,231,0,-1,5.32018,4.63540,7.00000,753.17281,12,0.39269,1,299.26446,107.09917,994.18182,None,None,None,None,None,None,None,-10921639,299.26446,264,95,650,36211,137.74450,1.01433,0.07463,0.30174
